rom,title,year,manufacturer
m4nnww__0,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 28),199?,Barcrest
m4nnww__1,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 29),199?,Barcrest
m4nnww__2,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 30),199?,Barcrest
m4nnww__3,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 31),199?,Barcrest
m4nnww__4,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 32),199?,Barcrest
m4nnww__5,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 33),199?,Barcrest
m4nnww__6,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 34),199?,Barcrest
m4nnww__7,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 35),199?,Barcrest
m4nnww__8,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 36),199?,Barcrest
m4nnww__9,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 37),199?,Barcrest
m4nnww__a,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 2),199?,Barcrest
m4nnww__aa,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 38),199?,Barcrest
m4nnww__ab,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 39),199?,Barcrest
m4nnww__ac,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 40),199?,Barcrest
m4nnww__ad,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 41),199?,Barcrest
m4nnww__ae,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 42),199?,Barcrest
m4nnww__af,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 43),199?,Barcrest
m4nnww__ag,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 44),199?,Barcrest
m4nnww__ah,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 45),199?,Barcrest
m4nnww__ai,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 46),199?,Barcrest
m4nnww__aj,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 47),199?,Barcrest
m4nnww__ak,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 48),199?,Barcrest
m4nnww__al,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 49),199?,Barcrest
m4nnww__am,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 50),199?,Barcrest
m4nnww__an,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 51),199?,Barcrest
m4nnww__ao,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 52),199?,Barcrest
m4nnww__ap,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 53),199?,Barcrest
m4nnww__aq,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 54),199?,Barcrest
m4nnww__ar,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 55),199?,Barcrest
m4nnww__as,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 56),199?,Barcrest
m4nnww__at,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 57),199?,Barcrest
m4nnww__au,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 58),199?,Barcrest
m4nnww__av,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 59),199?,Barcrest
m4nnww__aw,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 60),199?,Barcrest
m4nnww__ax,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 61),199?,Barcrest
m4nnww__ay,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 62),199?,Barcrest
m4nnww__az,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 63),199?,Barcrest
m4nnww__b,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 3),199?,Barcrest
m4nnww__c,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 4),199?,Barcrest
m4nnww__d,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 5),199?,Barcrest
m4nnww__e,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 6),199?,Barcrest
m4nnww__f,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 7),199?,Barcrest
m4nnww__g,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 8),199?,Barcrest
m4nnww__h,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 9),199?,Barcrest
m4nnww__i,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 10),199?,Barcrest
m4nnww__j,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 11),199?,Barcrest
m4nnww__k,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 12),199?,Barcrest
m4nnww__l,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 13),199?,Barcrest
m4nnww__m,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 14),199?,Barcrest
m4nnww__n,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 15),199?,Barcrest
m4nnww__o,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 16),199?,Barcrest
m4nnww__p,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 17),199?,Barcrest
m4nnww__q,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 18),199?,Barcrest
m4nnww__r,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 19),199?,Barcrest
m4nnww__s,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 20),199?,Barcrest
m4nnww__t,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 21),199?,Barcrest
m4nnww__u,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 22),199?,Barcrest
m4nnww__v,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 23),199?,Barcrest
m4nnww__w,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 24),199?,Barcrest
m4nnww__x,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 25),199?,Barcrest
m4nnww__y,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 26),199?,Barcrest
m4nnww__z,Nudge Nudge Wink Wink (Barcrest) (MPU4) (set 27),199?,Barcrest
m4nnwwc,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 1),199?,Barcrest
m4nnwwc__0,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 28),199?,Barcrest
m4nnwwc__1,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 29),199?,Barcrest
m4nnwwc__2,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 30),199?,Barcrest
m4nnwwc__3,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 31),199?,Barcrest
m4nnwwc__4,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 32),199?,Barcrest
m4nnwwc__5,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 33),199?,Barcrest
m4nnwwc__6,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 34),199?,Barcrest
m4nnwwc__7,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 35),199?,Barcrest
m4nnwwc__8,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 36),199?,Barcrest
m4nnwwc__9,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 37),199?,Barcrest
m4nnwwc__a,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 2),199?,Barcrest
m4nnwwc__aa,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 38),199?,Barcrest
m4nnwwc__ab,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 39),199?,Barcrest
m4nnwwc__ac,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 40),199?,Barcrest
m4nnwwc__ad,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 41),199?,Barcrest
m4nnwwc__b,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 3),199?,Barcrest
m4nnwwc__c,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 4),199?,Barcrest
m4nnwwc__d,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 5),199?,Barcrest
m4nnwwc__e,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 6),199?,Barcrest
m4nnwwc__f,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 7),199?,Barcrest
m4nnwwc__g,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 8),199?,Barcrest
m4nnwwc__h,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 9),199?,Barcrest
m4nnwwc__i,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 10),199?,Barcrest
m4nnwwc__j,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 11),199?,Barcrest
m4nnwwc__k,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 12),199?,Barcrest
m4nnwwc__l,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 13),199?,Barcrest
m4nnwwc__m,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 14),199?,Barcrest
m4nnwwc__n,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 15),199?,Barcrest
m4nnwwc__o,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 16),199?,Barcrest
m4nnwwc__p,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 17),199?,Barcrest
m4nnwwc__q,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 18),199?,Barcrest
m4nnwwc__r,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 19),199?,Barcrest
m4nnwwc__s,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 20),199?,Barcrest
m4nnwwc__t,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 21),199?,Barcrest
m4nnwwc__u,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 22),199?,Barcrest
m4nnwwc__v,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 23),199?,Barcrest
m4nnwwc__w,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 24),199?,Barcrest
m4nnwwc__x,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 25),199?,Barcrest
m4nnwwc__y,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 26),199?,Barcrest
m4nnwwc__z,Nudge Nudge Wink Wink Classic (Barcrest) (MPU4) (set 27),199?,Barcrest
m4nod,Nod And A Wink (Eurotech) (MPU4),199?,Eurotech
m4nspot,Night Spot Club (Barcrest) (MPU4) (set 1),199?,Barcrest
m4nspota,Night Spot Club (Barcrest) (MPU4) (set 2),199?,Barcrest
m4nspotb,Night Spot Club (Barcrest) (MPU4) (set 3),199?,Barcrest
m4nud2p,2p Nudger (Mdm?) (MPU4),199?,Mdm?
m4nudbnk,Nudge Banker (Barcrest) (MPU4) (set 1),199?,Barcrest
m4nudbnk__a,Nudge Banker (Barcrest) (MPU4) (set 2),199?,Barcrest
m4nudbnk__b,Nudge Banker (Barcrest) (MPU4) (set 3),199?,Barcrest
m4nudbnk__c,Nudge Banker (Barcrest) (MPU4) (set 4),199?,Barcrest
m4nudbnk__d,Nudge Banker (Barcrest) (MPU4) (set 5),199?,Barcrest
m4nudbon,"Nudge Bonanza (Mdm) (MPU4, set 1)",199?,Mdm
m4nudbona,"Nudge Bonanza (Mdm) (MPU4, set 2)",199?,Mdm
m4nudgem,Nudge Gems (Mdm) (MPU4),199?,Mdm
m4nudgwc,Nudge-A-Win (Concept Games Ltd) (MPU4) (set 1),199?,Concept Games Ltd
m4nudgwc__a,Nudge-A-Win (Concept Games Ltd) (MPU4) (set 2),199?,Concept Games Ltd
m4nudgwc__b,Nudge-A-Win (Concept Games Ltd) (MPU4) (set 3),199?,Concept Games Ltd
m4nudgwc__c,Nudge-A-Win (Concept Games Ltd) (MPU4) (set 4),199?,Concept Games Ltd
m4nudgwc__d,Nudge-A-Win (Concept Games Ltd) (MPU4) (set 5),199?,Concept Games Ltd
m4nudgwc__e,Nudge-A-Win (Concept Games Ltd) (MPU4) (set 6),199?,Concept Games Ltd
m4nudgwc__f,Nudge-A-Win (Concept Games Ltd) (MPU4) (set 7),199?,Concept Games Ltd
m4nudgwc__g,Nudge-A-Win (Concept Games Ltd) (MPU4) (set 8),199?,Concept Games Ltd
m4nudgwc__h,Nudge-A-Win (Concept Games Ltd) (MPU4) (set 9),199?,Concept Games Ltd
m4nudqst,Nudge Quest (Barcrest) (MPU4) (NQ 2.0),199?,Barcrest
m4nudshf,Nudge Shuffle (Barcrest) (MPU4) (set 1),199?,Barcrest
m4nudshfa,Nudge Shuffle (Barcrest) (MPU4) (set 2),199?,Barcrest
m4nudshfb,Nudge Shuffle (Barcrest) (MPU4) (set 3),199?,Barcrest
m4nudshfc,Nudge Shuffle (Barcrest) (MPU4) (set 4),199?,Barcrest
m4nudup,Nudge Up (Barcrest) (Dutch) (MPU4),199?,Barcrest
m4nudwin,Nudge & Win (Crystal) (MPU4) (set 1),199?,Crystal
m4nudwina,Nudge & Win (Crystal) (MPU4) (set 2),199?,Crystal
m4num1,Number One (Barcrest) (Dutch) (MPU4),199?,Barcrest
m4oadrac,Ooh Aah Dracula (Barcrest) (MPU4) (set 1),199?,Bwb / Barcrest
m4oadrac__a,Ooh Aah Dracula (Barcrest) (MPU4) (set 2),199?,Bwb / Barcrest
m4oadrac__b,Ooh Aah Dracula (Barcrest) (MPU4) (set 3),199?,Bwb / Barcrest
m4oadrac__c,Ooh Aah Dracula (Barcrest) (MPU4) (set 4),199?,Bwb / Barcrest
m4oadrac__d,Ooh Aah Dracula (Barcrest) (MPU4) (set 5),199?,Bwb / Barcrest
m4oadrac__e,Ooh Aah Dracula (Barcrest) (MPU4) (set 6),199?,Bwb / Barcrest
m4oadrac__f,Ooh Aah Dracula (Barcrest) (MPU4) (set 7),199?,Bwb / Barcrest
m4oadrac__g,Ooh Aah Dracula (Barcrest) (MPU4) (set 8),199?,Bwb / Barcrest
m4oadrac__h,Ooh Aah Dracula (Barcrest) (MPU4) (set 9),199?,Bwb / Barcrest
m4octo,Octopus (Nova) (MPU4),199?,Nova
m4oldtmr,Old Timer (Barcrest) (Dutch) (MPU4) (DOT1.1),199?,Barcrest
m4olygn,Olympic Gold (German) (Nova) (MPU4) (set 1),199?,Bwb
m4olygn__a,Olympic Gold (German) (Nova) (MPU4) (set 2),199?,Bwb
m4omega,Omega (Barcrest) (Dutch) (MPU4),199?,Barcrest
m4ordmnd,Oriental Diamonds (Barcrest) (German) (MPU4),199?,Barcrest
m4orland,Orlando Magic (Bwb) (MPU4) (set 1),199?,Bwb
m4orland__a,Orlando Magic (Bwb) (MPU4) (set 2),199?,Bwb
m4orland__b,Orlando Magic (Bwb) (MPU4) (set 3),199?,Bwb
m4orland__c,Orlando Magic (Bwb) (MPU4) (set 4),199?,Bwb
m4orland__d,Orlando Magic (Bwb) (MPU4) (set 5),199?,Bwb
m4orland__e,Orlando Magic (Bwb) (MPU4) (set 6),199?,Bwb
m4orland__f,Orlando Magic (Bwb) (MPU4) (set 7),199?,Bwb
m4orland__g,Orlando Magic (Bwb) (MPU4) (set 8),199?,Bwb
m4orland__h,Orlando Magic (Bwb) (MPU4) (set 9),199?,Bwb
m4overmn,Over The Moon (Barcrest) (MPU4) (set 1),199?,Barcrest
m4overmn__0,Over The Moon (Barcrest) (MPU4) (set 28),199?,Barcrest
m4overmn__1,Over The Moon (Barcrest) (MPU4) (set 29),199?,Barcrest
m4overmn__2,Over The Moon (Barcrest) (MPU4) (set 30),199?,Barcrest
m4overmn__3,Over The Moon (Barcrest) (MPU4) (set 31),199?,Barcrest
m4overmn__4,Over The Moon (Barcrest) (MPU4) (set 32),199?,Barcrest
m4overmn__5,Over The Moon (Barcrest) (MPU4) (set 33),199?,Barcrest
m4overmn__6,Over The Moon (Barcrest) (MPU4) (set 34),199?,Barcrest
m4overmn__7,Over The Moon (Barcrest) (MPU4) (set 35),199?,Barcrest
m4overmn__8,Over The Moon (Barcrest) (MPU4) (set 36),199?,Barcrest
m4overmn__a,Over The Moon (Barcrest) (MPU4) (set 2),199?,Barcrest
m4overmn__b,Over The Moon (Barcrest) (MPU4) (set 3),199?,Barcrest
m4overmn__c,Over The Moon (Barcrest) (MPU4) (set 4),199?,Barcrest
m4overmn__d,Over The Moon (Barcrest) (MPU4) (set 5),199?,Barcrest
m4overmn__e,Over The Moon (Barcrest) (MPU4) (set 6),199?,Barcrest
m4overmn__f,Over The Moon (Barcrest) (MPU4) (set 7),199?,Barcrest
m4overmn__g,Over The Moon (Barcrest) (MPU4) (set 8),199?,Barcrest
m4overmn__h,Over The Moon (Barcrest) (MPU4) (set 9),199?,Barcrest
m4overmn__i,Over The Moon (Barcrest) (MPU4) (set 10),199?,Barcrest
m4overmn__j,Over The Moon (Barcrest) (MPU4) (set 11),199?,Barcrest
m4overmn__k,Over The Moon (Barcrest) (MPU4) (set 12),199?,Barcrest
m4overmn__l,Over The Moon (Barcrest) (MPU4) (set 13),199?,Barcrest
m4overmn__m,Over The Moon (Barcrest) (MPU4) (set 14),199?,Barcrest
m4overmn__n,Over The Moon (Barcrest) (MPU4) (set 15),199?,Barcrest
m4overmn__o,Over The Moon (Barcrest) (MPU4) (set 16),199?,Barcrest
m4overmn__p,Over The Moon (Barcrest) (MPU4) (set 17),199?,Barcrest
m4overmn__q,Over The Moon (Barcrest) (MPU4) (set 18),199?,Barcrest
m4overmn__r,Over The Moon (Barcrest) (MPU4) (set 19),199?,Barcrest
m4overmn__s,Over The Moon (Barcrest) (MPU4) (set 20),199?,Barcrest
m4overmn__t,Over The Moon (Barcrest) (MPU4) (set 21),199?,Barcrest
m4overmn__u,Over The Moon (Barcrest) (MPU4) (set 22),199?,Barcrest
m4overmn__v,Over The Moon (Barcrest) (MPU4) (set 23),199?,Barcrest
m4overmn__w,Over The Moon (Barcrest) (MPU4) (set 24),199?,Barcrest
m4overmn__x,Over The Moon (Barcrest) (MPU4) (set 25),199?,Barcrest
m4overmn__y,Over The Moon (Barcrest) (MPU4) (set 26),199?,Barcrest
m4overmn__z,Over The Moon (Barcrest) (MPU4) (set 27),199?,Barcrest
m4paracl,Paradise Club (Crystal) (MPU4) (set 1),199?,Crystal
m4paracla,Paradise Club (Crystal) (MPU4) (set 2),199?,Crystal
m4pbnudg,"Pinball Nudger (Empire) (MPU4, set 1)",199?,Empire
m4pbnudga,"Pinball Nudger (Empire) (MPU4, set 2)",199?,Empire
m4pbnudgb,"Pinball Nudger (Empire) (MPU4, set 3)",199?,Empire
m4pick,Pick A Fruit (JPM) (MPU4),199?,JPM
m4pitfal,"Pitfall (Empire) (MPU4, set 1)",199?,Empire
m4pitfala,"Pitfall (Empire) (MPU4, set 2)",199?,Empire
m4pitfalb,"Pitfall (Empire) (MPU4, set 3)",199?,Empire
m4pitfalc,"Pitfall (Empire) (MPU4, set 4)",199?,Empire
m4placbt,Place Your Bets (Barcrest) (MPU4) (set 1),199?,Barcrest
m4placbt__0,Place Your Bets (Barcrest) (MPU4) (set 28),199?,Barcrest
m4placbt__1,Place Your Bets (Barcrest) (MPU4) (set 29),199?,Barcrest
m4placbt__2,Place Your Bets (Barcrest) (MPU4) (set 30),199?,Barcrest
m4placbt__3,Place Your Bets (Barcrest) (MPU4) (set 31),199?,Barcrest
m4placbt__4,Place Your Bets (Barcrest) (MPU4) (set 32),199?,Barcrest
m4placbt__5,Place Your Bets (Barcrest) (MPU4) (set 33),199?,Barcrest
m4placbt__6,Place Your Bets (Barcrest) (MPU4) (set 34),199?,Barcrest
m4placbt__7,Place Your Bets (Barcrest) (MPU4) (set 35),199?,Barcrest
m4placbt__8,Place Your Bets (Barcrest) (MPU4) (set 36),199?,Barcrest
m4placbt__9,Place Your Bets (Barcrest) (MPU4) (set 37),199?,Barcrest
m4placbt__a,Place Your Bets (Barcrest) (MPU4) (set 2),199?,Barcrest
m4placbt__aa,Place Your Bets (Barcrest) (MPU4) (set 38),199?,Barcrest
m4placbt__ab,Place Your Bets (Barcrest) (MPU4) (set 39),199?,Barcrest
m4placbt__ac,Place Your Bets (Barcrest) (MPU4) (set 40),199?,Barcrest
m4placbt__ad,Place Your Bets (Barcrest) (MPU4) (set 41),199?,Barcrest
m4placbt__ae,Place Your Bets (Barcrest) (MPU4) (set 42),199?,Barcrest
m4placbt__af,Place Your Bets (Barcrest) (MPU4) (set 43),199?,Barcrest
m4placbt__ag,Place Your Bets (Barcrest) (MPU4) (set 44),199?,Barcrest
m4placbt__ah,Place Your Bets (Barcrest) (MPU4) (set 45),199?,Barcrest
m4placbt__ai,Place Your Bets (Barcrest) (MPU4) (set 46),199?,Barcrest
m4placbt__aj,Place Your Bets (Barcrest) (MPU4) (set 47),199?,Barcrest
m4placbt__ak,Place Your Bets (Barcrest) (MPU4) (set 48),199?,Barcrest
m4placbt__al,Place Your Bets (Barcrest) (MPU4) (set 49),199?,Barcrest
m4placbt__am,Place Your Bets (Barcrest) (MPU4) (set 50),199?,Barcrest
m4placbt__an,Place Your Bets (Barcrest) (MPU4) (set 51),199?,Barcrest
m4placbt__ao,Place Your Bets (Barcrest) (MPU4) (set 52),199?,Barcrest
m4placbt__b,Place Your Bets (Barcrest) (MPU4) (set 3),199?,Barcrest
m4placbt__c,Place Your Bets (Barcrest) (MPU4) (set 4),199?,Barcrest
m4placbt__d,Place Your Bets (Barcrest) (MPU4) (set 5),199?,Barcrest
m4placbt__e,Place Your Bets (Barcrest) (MPU4) (set 6),199?,Barcrest
m4placbt__f,Place Your Bets (Barcrest) (MPU4) (set 7),199?,Barcrest
m4placbt__g,Place Your Bets (Barcrest) (MPU4) (set 8),199?,Barcrest
m4placbt__h,Place Your Bets (Barcrest) (MPU4) (set 9),199?,Barcrest
m4placbt__i,Place Your Bets (Barcrest) (MPU4) (set 10),199?,Barcrest
m4placbt__j,Place Your Bets (Barcrest) (MPU4) (set 11),199?,Barcrest
m4placbt__k,Place Your Bets (Barcrest) (MPU4) (set 12),199?,Barcrest
m4placbt__l,Place Your Bets (Barcrest) (MPU4) (set 13),199?,Barcrest
m4placbt__m,Place Your Bets (Barcrest) (MPU4) (set 14),199?,Barcrest
m4placbt__n,Place Your Bets (Barcrest) (MPU4) (set 15),199?,Barcrest
m4placbt__o,Place Your Bets (Barcrest) (MPU4) (set 16),199?,Barcrest
m4placbt__p,Place Your Bets (Barcrest) (MPU4) (set 17),199?,Barcrest
m4placbt__q,Place Your Bets (Barcrest) (MPU4) (set 18),199?,Barcrest
m4placbt__r,Place Your Bets (Barcrest) (MPU4) (set 19),199?,Barcrest
m4placbt__s,Place Your Bets (Barcrest) (MPU4) (set 20),199?,Barcrest
m4placbt__t,Place Your Bets (Barcrest) (MPU4) (set 21),199?,Barcrest
m4placbt__u,Place Your Bets (Barcrest) (MPU4) (set 22),199?,Barcrest
m4placbt__v,Place Your Bets (Barcrest) (MPU4) (set 23),199?,Barcrest
m4placbt__w,Place Your Bets (Barcrest) (MPU4) (set 24),199?,Barcrest
m4placbt__x,Place Your Bets (Barcrest) (MPU4) (set 25),199?,Barcrest
m4placbt__y,Place Your Bets (Barcrest) (MPU4) (set 26),199?,Barcrest
m4placbt__z,Place Your Bets (Barcrest) (MPU4) (set 27),199?,Barcrest
m4pont,Pontoon Club (Barcrest) (MPU4) (PON 3.0),199?,Barcrest
m4ponta,Pontoon Club (Barcrest) (MPU4) (PON 4.0),199?,Barcrest
m4potblk,Pot Black (Barcrest) (MPU4) (set 1),199?,Barcrest
m4potblk__0,Pot Black (Barcrest) (MPU4) (set 28),199?,Barcrest
m4potblk__1,Pot Black (Barcrest) (MPU4) (set 29),199?,Barcrest
m4potblk__2,Pot Black (Barcrest) (MPU4) (set 30),199?,Barcrest
m4potblk__3,Pot Black (Barcrest) (MPU4) (set 31),199?,Barcrest
m4potblk__4,Pot Black (Barcrest) (MPU4) (set 32),199?,Barcrest
m4potblk__5,Pot Black (Barcrest) (MPU4) (set 33),199?,Barcrest
m4potblk__6,Pot Black (Barcrest) (MPU4) (set 34),199?,Barcrest
m4potblk__7,Pot Black (Barcrest) (MPU4) (set 35),199?,Barcrest
m4potblk__8,Pot Black (Barcrest) (MPU4) (set 36),199?,Barcrest
m4potblk__9,Pot Black (Barcrest) (MPU4) (set 37),199?,Barcrest
m4potblk__a,Pot Black (Barcrest) (MPU4) (set 2),199?,Barcrest
m4potblk__aa,Pot Black (Barcrest) (MPU4) (set 38),199?,Barcrest
m4potblk__ab,Pot Black (Barcrest) (MPU4) (set 39),199?,Barcrest
m4potblk__ac,Pot Black (Barcrest) (MPU4) (set 40),199?,Barcrest
m4potblk__ad,Pot Black (Barcrest) (MPU4) (set 41),199?,Barcrest
m4potblk__ae,Pot Black (Barcrest) (MPU4) (set 42),199?,Barcrest
m4potblk__af,Pot Black (Barcrest) (MPU4) (set 43),199?,Barcrest
m4potblk__ag,Pot Black (Barcrest) (MPU4) (set 44),199?,Barcrest
m4potblk__ah,Pot Black (Barcrest) (MPU4) (set 45),199?,Barcrest
m4potblk__ai,Pot Black (Barcrest) (MPU4) (set 46),199?,Barcrest
m4potblk__aj,Pot Black (Barcrest) (MPU4) (set 47),199?,Barcrest
m4potblk__ak,Pot Black (Barcrest) (MPU4) (set 48),199?,Barcrest
m4potblk__al,Pot Black (Barcrest) (MPU4) (set 49),199?,Barcrest
m4potblk__am,Pot Black (Barcrest) (MPU4) (set 50),199?,Barcrest
m4potblk__an,Pot Black (Barcrest) (MPU4) (set 51),199?,Barcrest
m4potblk__ao,Pot Black (Barcrest) (MPU4) (set 52),199?,Barcrest
m4potblk__ap,Pot Black (Barcrest) (MPU4) (set 53),199?,Barcrest
m4potblk__aq,Pot Black (Barcrest) (MPU4) (set 54),199?,Barcrest
m4potblk__ar,Pot Black (Barcrest) (MPU4) (set 55),199?,Barcrest
m4potblk__as,Pot Black (Barcrest) (MPU4) (set 56),199?,Barcrest
m4potblk__at,Pot Black (Barcrest) (MPU4) (set 57),199?,Barcrest
m4potblk__au,Pot Black (Barcrest) (MPU4) (set 58),199?,Barcrest
m4potblk__av,Pot Black (Barcrest) (MPU4) (set 59),199?,Barcrest
m4potblk__aw,Pot Black (Barcrest) (MPU4) (set 60),199?,Barcrest
m4potblk__ax,Pot Black (Barcrest) (MPU4) (set 61),199?,Barcrest
m4potblk__b,Pot Black (Barcrest) (MPU4) (set 3),199?,Barcrest
m4potblk__c,Pot Black (Barcrest) (MPU4) (set 4),199?,Barcrest
m4potblk__d,Pot Black (Barcrest) (MPU4) (set 5),199?,Barcrest
m4potblk__e,Pot Black (Barcrest) (MPU4) (set 6),199?,Barcrest
m4potblk__f,Pot Black (Barcrest) (MPU4) (set 7),199?,Barcrest
m4potblk__g,Pot Black (Barcrest) (MPU4) (set 8),199?,Barcrest
m4potblk__h,Pot Black (Barcrest) (MPU4) (set 9),199?,Barcrest
m4potblk__i,Pot Black (Barcrest) (MPU4) (set 10),199?,Barcrest
m4potblk__j,Pot Black (Barcrest) (MPU4) (set 11),199?,Barcrest
m4potblk__k,Pot Black (Barcrest) (MPU4) (set 12),199?,Barcrest
m4potblk__l,Pot Black (Barcrest) (MPU4) (set 13),199?,Barcrest
m4potblk__m,Pot Black (Barcrest) (MPU4) (set 14),199?,Barcrest
m4potblk__n,Pot Black (Barcrest) (MPU4) (set 15),199?,Barcrest
m4potblk__o,Pot Black (Barcrest) (MPU4) (set 16),199?,Barcrest
m4potblk__p,Pot Black (Barcrest) (MPU4) (set 17),199?,Barcrest
m4potblk__q,Pot Black (Barcrest) (MPU4) (set 18),199?,Barcrest
m4potblk__r,Pot Black (Barcrest) (MPU4) (set 19),199?,Barcrest
